tax	tax_name	parent_name	parent_class_order	count(*)
2800102	Candidatus Hodarchaeota archaeon	Archaea	domain	24
1915887	Euryarchaeota archaeon UBA439	Archaea	domain	29
1915896	Euryarchaeota archaeon UBA484	Archaea	domain	46
1132502	Saccharolobus islandicus M.16.30	Archaea	domain	44
3045160	Candidatus Bathyarchaeia archaeon	Archaea	domain	770
2599821	Candidatus Altarchaeota archaeon	Archaea	domain	188
1915808	Euryarchaeota archaeon UBA132	Archaea	domain	36
930943	Saccharolobus islandicus HVE10/4	Archaea	domain	37
1502291	Marine Group I thaumarchaeote SCGC AAA799-D11	Archaea	domain	39
523846	Methanothermus fervidus DSM 2088	Archaea	domain	35
1915864	Euryarchaeota archaeon UBA256	Archaea	domain	37
426118	Saccharolobus islandicus M.16.4	Archaea	domain	39
644281	Methanocaldococcus sp. FS406-22	Archaea	domain	31
1915957	Euryarchaeota archaeon UBA605	Archaea	domain	35
1132499	Saccharolobus islandicus M.16.13	Archaea	domain	45
523849	Thermococcus litoralis DSM 5473	Archaea	domain	45
1434109	Methanosarcina barkeri str. Wiesmoor	Archaea	domain	44
2250277	Thermoprotei archaeon	Archaea	domain	201
1434107	Methanosarcina barkeri 3	Archaea	domain	44
1896163	uncultured Candidatus Nitrosopelagicus sp.	Archaea	domain	56
2591838	Promethearchaeati archaeon	Archaea	domain	39
2012491	Promethearchaeota archaeon Loki_b32	Archaea	domain	28
582419	Thermococcus paralvinellae	Archaea	domain	46
259564	Methanococcoides burtonii DSM 6242	Archaea	domain	43
413816	Halorubrum halophilum	Archaea	domain	48
634498	Methanobrevibacter ruminantium M1	Archaea	domain	47
1903181	Candidatus Methanohalarchaeum thermophilum	Archaea	domain	41
1229909	Candidatus Nitrosopumilus sediminis	Archaea	domain	38
1434102	Methanosarcina sp. WH1	Archaea	domain	43
1915817	Euryarchaeota archaeon UBA171	Archaea	domain	28
593907	Cellulomonas gilvus ATCC 13127	Bacteria	domain	45
1249652	Ehrlichia chaffeensis str. Jax	Bacteria	domain	36
1388758	Dehalococcoides mccartyi GY50	Bacteria	domain	46
56107	Cylindrospermum stagnale PCC 7417	Bacteria	domain	67
360115	Coxiella burnetii RSA 331	Bacteria	domain	42
907265	Chlamydia trachomatis RC-F(s)/852	Bacteria	domain	37
945712	Corynebacterium ulcerans BR-AD22	Bacteria	domain	45
1050219	Chlamydia psittaci CP3	Bacteria	domain	38
516051	Flagellimonas lutaonensis	Bacteria	domain	34
929102	Lactococcus lactis subsp. lactis CV56	Bacteria	domain	40
568819	Listeria monocytogenes serotype 4b str. CLIP 80459	Bacteria	domain	45
40480	Mycoplasma capricolum subsp. capripneumoniae	Bacteria	domain	31
1508644	Candidatus Arthromitus sp. SFB-mouse-NL	Bacteria	domain	34
1273266	Campylobacter fetus subsp. venerealis cfvi03/293	Bacteria	domain	37
768700	Mycoplasma suis str. Illinois	Bacteria	domain	31
583358	Thermoanaerobacter mathranii subsp. mathranii str. A3	Bacteria	domain	53
109232	Rickettsia monacensis	Bacteria	domain	32
699033	Clostridioides difficile 2007855	Bacteria	domain	33
1228997	Riemerella anatipestifer RA-CH-1	Bacteria	domain	33
309807	Salinibacter ruber DSM 13855	Bacteria	domain	44
693982	Sinorhizobium meliloti AK83	Bacteria	domain	47
698936	Sinorhizobium meliloti BL225C	Bacteria	domain	46
1432049	Rhizobium etli bv. phaseoli str. IE4803	Bacteria	domain	43
1170318	Cutibacterium avidum 44067	Bacteria	domain	46
378806	Stigmatella aurantiaca DW4/3-1	Bacteria	domain	46
1408179	Streptococcus pneumoniae A026	Bacteria	domain	34
1328325	Klebsiella pneumoniae subsp. pneumoniae KPR0928	Bacteria	domain	47
290402	Clostridium beijerinckii NCIMB 8052	Bacteria	domain	40
298654	Pseudofrankia inefficax	Bacteria	domain	44
771875	Fervidobacterium pennivorans DSM 9078	Bacteria	domain	43
1159204	Mycoplasmoides gallisepticum NC08_2008.031-4-3P	Bacteria	domain	32
